ID,Date,Open_SP500,High_SP500,Low_SP500,Close_SP500,Open_Gold,High_Gold,Low_Gold,Close_Gold,Open_EURUSD,High_EURUSD,Low_EURUSD,Close_EURUSD,Day,Weekday,Is_weekend,Is_holiday,Week_of_month,Week_of_year,Month,Quarter,Year
0,2012-04-02,1408.47,1422.38,1404.46,1419.04,1671.5,1685.4,1664.4,1679.7,1.3343,1.3343,1.3321,1.3321,2,2,0,0,1,14,4,2,2012
1,2012-04-03,1418.98,1419.0,1404.62,1413.38,1678.6,1682.7,1640.2,1672.0,1.3321,1.3321,1.3235,1.3235,3,3,0,0,1,14,4,2,2012
2,2012-04-04,1413.09,1413.09,1394.09,1398.96,1645.8,1649.5,1613.0,1614.1,1.3235,1.3235,1.3143,1.3143,4,4,0,0,1,14,4,2,2012
3,2012-04-05,1398.79,1401.6,1392.92,1398.08,1622.0,1634.8,1620.7,1630.1,1.3143,1.3143,1.3067,1.3067,5,5,0,0,1,14,4,2,2012
4,2012-04-06,,,,,,,,,1.3067,1.3099,1.3067,1.3099,6,6,0,0,1,14,4,2,2012
5,2012-04-07,,,,,,,,,,,,,7,7,1,0,1,14,4,2,2012
6,2012-04-08,,,,,,,,,,,,,8,1,1,0,2,15,4,2,2012
7,2012-04-09,1397.45,1397.45,1378.24,1382.2,1641.0,1649.9,1636.7,1643.9,1.3099,1.3107,1.3099,1.3107,9,2,0,0,2,15,4,2,2012
8,2012-04-10,1382.18,1383.01,1357.38,1358.59,1643.0,1664.8,1632.5,1660.7,1.3107,1.3107,1.3082,1.3082,10,3,0,0,2,15,4,2,2012
9,2012-04-11,1358.98,1374.71,1358.98,1368.71,1660.7,1663.9,1653.5,1660.3,1.3082,1.3111,1.3082,1.3111,11,4,0,0,2,15,4,2,2012
10,2012-04-12,1368.77,1388.13,1368.77,1387.57,1660.3,1681.3,1651.0,1680.6,1.3111,1.3188,1.3111,1.3188,12,5,0,0,2,15,4,2,2012
11,2012-04-13,1387.61,1387.61,1369.85,1370.26,1676.6,1679.2,1649.7,1660.2,1.3188,1.3188,1.3079,1.3079,13,6,0,0,2,15,4,2,2012
12,2012-04-14,,,,,,,,,,,,,14,7,1,0,2,15,4,2,2012
13,2012-04-15,,,,,,,,,,,,,15,1,1,0,3,16,4,2,2012
14,2012-04-16,1370.27,1379.66,1365.38,1369.57,1658.7,1659.6,1642.0,1649.7,1.3079,1.3142,1.3079,1.3142,16,2,0,0,3,16,4,2,2012
15,2012-04-17,1369.57,1392.76,1369.57,1390.78,1653.7,1658.4,1635.2,1651.1,1.3142,1.3142,1.3129,1.3129,17,3,0,0,3,16,4,2,2012
16,2012-04-18,1390.78,1390.78,1383.29,1385.14,1650.8,1655.2,1638.1,1639.6,1.3129,1.3129,1.3123,1.3123,18,4,0,0,3,16,4,2,2012
17,2012-04-19,1385.08,1390.46,1370.3,1376.92,1643.0,1654.9,1631.2,1641.4,1.3123,1.3137,1.3123,1.3137,19,5,0,0,3,16,4,2,2012
18,2012-04-20,1376.96,1387.4,1376.96,1378.53,1643.2,1648.2,1638.6,1642.8,1.3137,1.3219,1.3137,1.3219,20,6,0,0,3,16,4,2,2012
19,2012-04-21,,,,,,,,,,,,,21,7,1,0,3,16,4,2,2012
20,2012-04-22,,,,,,,,,,,,,22,1,1,0,4,17,4,2,2012
21,2012-04-23,1378.53,1378.53,1358.79,1366.94,1642.8,1644.2,1623.6,1632.6,1.3219,1.3219,1.3157,1.3157,23,2,0,0,4,17,4,2,2012
22,2012-04-24,1366.97,1375.57,1366.82,1371.97,1639.6,1650.1,1634.6,1643.8,1.3157,1.3198,1.3157,1.3198,24,3,0,0,4,17,4,2,2012
23,2012-04-25,1372.11,1391.37,1372.11,1390.69,1642.2,1647.6,1625.0,1642.3,1.3198,1.3218,1.3198,1.3218,25,4,0,0,4,17,4,2,2012
24,2012-04-26,1390.64,1402.09,1387.28,1399.98,1644.5,1662.0,1642.5,1660.5,1.3218,1.3224,1.3218,1.3224,26,5,0,0,4,17,4,2,2012
25,2012-04-27,1400.19,1406.64,1397.31,1403.36,1657.3,1668.4,1651.1,1664.8,1.3224,1.3256,1.3224,1.3256,27,6,0,0,4,17,4,2,2012
26,2012-04-28,,,,,,,,,,,,,28,7,1,0,4,17,4,2,2012
27,2012-04-29,,,,,,,,,,,,,29,1,1,0,5,18,4,2,2012
28,2012-04-30,1403.26,1403.26,1394.0,1397.91,1663.0,1667.0,1645.1,1664.2,1.3256,1.3256,1.3241,1.3241,30,2,0,0,5,18,4,2,2012
29,2012-05-01,1397.86,1415.32,1395.73,1405.82,1666.1,1672.3,1657.5,1662.4,1.3241,1.3241,1.3238,1.3238,1,3,0,0,1,18,5,2,2012
30,2012-05-02,1405.5,1405.5,1393.92,1402.31,1663.0,1663.9,1646.0,1654.0,1.3238,1.3238,1.316,1.316,2,4,0,0,1,18,5,2,2012
31,2012-05-03,1402.32,1403.07,1388.71,1391.57,1654.0,1654.3,1631.3,1634.8,1.316,1.316,1.3153,1.3153,3,5,0,0,1,18,5,2,2012
32,2012-05-04,1391.51,1391.51,1367.96,1369.1,1636.4,1648.0,1626.8,1645.2,1.3153,1.3153,1.3084,1.3084,4,6,0,0,1,18,5,2,2012
33,2012-05-05,,,,,,,,,,,,,5,7,1,0,1,18,5,2,2012
34,2012-05-06,,,,,,,,,,,,,6,1,1,0,2,19,5,2,2012
