Date,Open,High,Low,Close
04/01/2021,"1.1731","1.1781","1.1714","1.1779"
03/31/2021,"1.1717","1.1760","1.1704","1.1732"
03/30/2021,"1.1767","1.1776","1.1713","1.1718"
03/29/2021,"1.1825","1.1825","1.1761","1.1765"
03/26/2021,"1.1766","1.1806","1.1765","1.1796"
03/25/2021,"1.1814","1.1830","1.1762","1.1764"
03/24/2021,"1.1849","1.1855","1.1810","1.1815"
03/23/2021,"1.1933","1.1943","1.1843","1.1851"
03/22/2021,"1.1949","1.1950","1.1874","1.1934"
03/19/2021,"1.1916","1.1939","1.1875","1.1907"
03/18/2021,"1.1979","1.1990","1.1907","1.1918"
03/17/2021,"1.1904","1.1987","1.1886","1.1982"
03/16/2021,"1.1930","1.1953","1.1884","1.1905"
03/15/2021,"1.1955","1.1967","1.1913","1.1931"
03/12/2021,"1.1988","1.1990","1.1910","1.1955"
03/11/2021,"1.1931","1.1992","1.1916","1.1985"
03/10/2021,"1.1900","1.1932","1.1869","1.1929"
03/09/2021,"1.1847","1.1917","1.1836","1.1901"
03/08/2021,"1.1919","1.1934","1.1844","1.1846"
03/05/2021,"1.1971","1.1980","1.1895","1.1913"
03/04/2021,"1.2064","1.2068","1.1962","1.1973"
03/03/2021,"1.2092","1.2114","1.2044","1.2063"
03/02/2021,"1.2050","1.2097","1.1993","1.2091"
03/01/2021,"1.2077","1.2103","1.2028","1.2049"
02/26/2021,"1.2175","1.2186","1.2063","1.2074"
02/25/2021,"1.2168","1.2243","1.2156","1.2176"
02/24/2021,"1.2151","1.2176","1.2111","1.2171"
02/23/2021,"1.2160","1.2181","1.2136","1.2152"
02/22/2021,"1.2121","1.2171","1.2092","1.2159"
02/19/2021,"1.2094","1.2146","1.2083","1.2120"
02/18/2021,"1.2039","1.2097","1.2036","1.2095"
02/17/2021,"1.2107","1.2112","1.2024","1.2043"
02/16/2021,"1.2131","1.2171","1.2096","1.2106"
02/15/2021,"1.2121","1.2147","1.2118","1.2130"
02/12/2021,"1.2132","1.2136","1.2083","1.2120"
02/11/2021,"1.2118","1.2150","1.2114","1.2134"
02/10/2021,"1.2120","1.2146","1.2109","1.2120"
02/09/2021,"1.2051","1.2123","1.2048","1.2121"
02/08/2021,"1.2045","1.2066","1.2021","1.2052"
02/05/2021,"1.1965","1.2052","1.1953","1.2050"
02/04/2021,"1.2038","1.2045","1.1958","1.1963"
02/03/2021,"1.2046","1.2052","1.2005","1.2035"
02/02/2021,"1.2062","1.2089","1.2012","1.2045"
02/01/2021,"1.2138","1.2138","1.2057","1.2061"
01/29/2021,"1.2122","1.2156","1.2095","1.2138"
01/28/2021,"1.2111","1.2144","1.2081","1.2123"
01/27/2021,"1.2164","1.2171","1.2060","1.2114"
01/26/2021,"1.2142","1.2177","1.2109","1.2162"
01/25/2021,"1.2169","1.2185","1.2117","1.2143"
01/22/2021,"1.2167","1.2190","1.2152","1.2175"
01/21/2021,"1.2107","1.2172","1.2105","1.2168"
01/20/2021,"1.2130","1.2159","1.2078","1.2108"
01/19/2021,"1.2081","1.2147","1.2074","1.2131"
01/18/2021,"1.2081","1.2089","1.2055","1.2079"
01/15/2021,"1.2156","1.2164","1.2075","1.2080"
01/14/2021,"1.2156","1.2179","1.2112","1.2157"
01/13/2021,"1.2208","1.2224","1.2141","1.2160"
01/12/2021,"1.2153","1.2211","1.2139","1.2209"
01/11/2021,"1.2220","1.2232","1.2134","1.2151"
01/08/2021,"1.2275","1.2284","1.2194","1.2220"
01/07/2021,"1.2330","1.2346","1.2245","1.2270"
01/06/2021,"1.2298","1.2351","1.2269","1.2328"
01/05/2021,"1.2254","1.2306","1.2247","1.2301"
01/04/2021,"1.2242","1.2309","1.2231","1.2255"
01/01/2021,"1.2217","1.2229","1.2126","1.2216"
12/31/2020,"1.2301","1.2311","1.2210","1.2216"
12/30/2020,"1.2252","1.2309","1.2248","1.2300"
12/29/2020,"1.2216","1.2277","1.2208","1.2251"
12/28/2020,"1.2191","1.2252","1.2182","1.2215"
12/25/2020,"1.2188","1.2210","1.2163","1.2197"
12/24/2020,"1.2187","1.2218","1.2178","1.2187"
12/23/2020,"1.2163","1.2221","1.2160","1.2188"
12/22/2020,"1.2242","1.2258","1.2153","1.2162"
12/21/2020,"1.2219","1.2253","1.2131","1.2244"
12/18/2020,"1.2271","1.2274","1.2226","1.2258"
12/17/2020,"1.2200","1.2274","1.2192","1.2270"
12/16/2020,"1.2154","1.2213","1.2127","1.2201"
12/15/2020,"1.2145","1.2171","1.2123","1.2155"
12/14/2020,"1.2116","1.2177","1.2116","1.2143"
12/11/2020,"1.2141","1.2165","1.2106","1.2112"
12/10/2020,"1.2083","1.2158","1.2076","1.2142"
12/09/2020,"1.2105","1.2148","1.2061","1.2084"
12/08/2020,"1.2112","1.2134","1.2097","1.2106"
12/07/2020,"1.2123","1.2166","1.2080","1.2109"
12/04/2020,"1.2146","1.2178","1.2111","1.2121"
12/03/2020,"1.2116","1.2176","1.2102","1.2149"
12/02/2020,"1.2071","1.2120","1.2041","1.2118"
12/01/2020,"1.1927","1.2077","1.1927","1.2072"
11/30/2020,"1.1965","1.2004","1.1924","1.1926"
11/27/2020,"1.1913","1.1966","1.1908","1.1963"
11/26/2020,"1.1917","1.1943","1.1886","1.1914"
11/25/2020,"1.1892","1.1929","1.1883","1.1916"
11/24/2020,"1.1841","1.1897","1.1838","1.1894"
11/23/2020,"1.1858","1.1908","1.1803","1.1842"
11/20/2020,"1.1875","1.1892","1.1850","1.1856"
11/19/2020,"1.1857","1.1884","1.1819","1.1874"
11/18/2020,"1.1862","1.1892","1.1850","1.1856"
11/17/2020,"1.1855","1.1895","1.1845","1.1863"
11/16/2020,"1.1834","1.1869","1.1815","1.1854"
11/13/2020,"1.1807","1.1838","1.1799","1.1838"
11/12/2020,"1.1780","1.1824","1.1759","1.1805"
11/11/2020,"1.1818","1.1835","1.1747","1.1778"
11/10/2020,"1.1815","1.1844","1.1780","1.1815"
11/09/2020,"1.1874","1.1921","1.1797","1.1816"
11/06/2020,"1.1830","1.1892","1.1796","1.1876"
11/05/2020,"1.1724","1.1861","1.1712","1.1831"
11/04/2020,"1.1721","1.1768","1.1606","1.1723"
11/03/2020,"1.1640","1.1741","1.1635","1.1722"
11/02/2020,"1.1678","1.1678","1.1623","1.1641"
10/30/2020,"1.1675","1.1706","1.1641","1.1647"
10/29/2020,"1.1748","1.1760","1.1651","1.1674"
10/28/2020,"1.1796","1.1800","1.1718","1.1747"
10/27/2020,"1.1809","1.1840","1.1794","1.1797"
10/26/2020,"1.1862","1.1862","1.1803","1.1810"
10/23/2020,"1.1819","1.1867","1.1787","1.1862"
10/22/2020,"1.1860","1.1868","1.1813","1.1821"
10/21/2020,"1.1822","1.1882","1.1822","1.1862"
10/20/2020,"1.1770","1.1842","1.1761","1.1824"
10/19/2020,"1.1717","1.1795","1.1704","1.1772"
10/16/2020,"1.1707","1.1747","1.1694","1.1718"
10/15/2020,"1.1747","1.1760","1.1689","1.1709"
10/14/2020,"1.1746","1.1772","1.1721","1.1748"
10/13/2020,"1.1815","1.1819","1.1731","1.1745"
10/12/2020,"1.1827","1.1828","1.1787","1.1814"
10/09/2020,"1.1763","1.1833","1.1754","1.1832"
10/08/2020,"1.1764","1.1783","1.1734","1.1761"
10/07/2020,"1.1736","1.1783","1.1726","1.1767"
10/06/2020,"1.1784","1.1809","1.1732","1.1734"
10/05/2020,"1.1716","1.1799","1.1710","1.1787"
10/02/2020,"1.1746","1.1751","1.1697","1.1718"
10/01/2020,"1.1721","1.1771","1.1718","1.1747"
09/30/2020,"1.1746","1.1757","1.1686","1.1722"
09/29/2020,"1.1668","1.1747","1.1663","1.1744"
09/28/2020,"1.1633","1.1682","1.1616","1.1667"
09/25/2020,"1.1669","1.1686","1.1613","1.1632"
09/24/2020,"1.1660","1.1689","1.1627","1.1670"
09/23/2020,"1.1710","1.1720","1.1653","1.1662"
09/22/2020,"1.1770","1.1776","1.1693","1.1709"
09/21/2020,"1.1840","1.1874","1.1732","1.1772"
09/18/2020,"1.1849","1.1872","1.1830","1.1842"
09/17/2020,"1.1818","1.1854","1.1742","1.1850"
09/16/2020,"1.1848","1.1884","1.1790","1.1817"
09/15/2020,"1.1866","1.1902","1.1841","1.1847"
09/14/2020,"1.1843","1.1889","1.1833","1.1863"
09/11/2020,"1.1815","1.1875","1.1814","1.1848"
09/10/2020,"1.1806","1.1917","1.1801","1.1816"
09/09/2020,"1.1776","1.1833","1.1754","1.1804"
09/08/2020,"1.1815","1.1829","1.1766","1.1775"
09/07/2020,"1.1839","1.1852","1.1812","1.1816"
09/04/2020,"1.1852","1.1867","1.1781","1.1841"
09/03/2020,"1.1852","1.1866","1.1791","1.1854"
09/02/2020,"1.1914","1.1930","1.1823","1.1857"
