Date,Open,High,Low,Close
04/01/2021,"1,709.00","1,732.00","1,706.40","1,728.40"
03/31/2021,"1,685.90","1,716.30","1,677.30","1,715.60"
03/30/2021,"1,713.00","1,714.80","1,678.30","1,686.00"
03/29/2021,"1,731.50","1,732.60","1,703.30","1,712.20"
03/26/2021,"1,725.50","1,735.50","1,718.80","1,732.30"
03/25/2021,"1,733.20","1,744.80","1,720.30","1,725.10"
03/24/2021,"1,725.90","1,737.70","1,722.30","1,733.20"
03/23/2021,"1,738.50","1,742.00","1,722.70","1,725.10"
03/22/2021,"1,745.60","1,747.00","1,726.40","1,738.10"
03/19/2021,"1,733.70","1,746.10","1,727.10","1,741.70"
03/18/2021,"1,744.00","1,754.20","1,716.60","1,732.50"
03/17/2021,"1,730.00","1,750.60","1,722.00","1,727.10"
03/16/2021,"1,730.70","1,740.50","1,724.40","1,730.90"
03/15/2021,"1,726.50","1,733.20","1,719.20","1,729.20"
03/12/2021,"1,720.50","1,728.00","1,696.60","1,719.80"
03/11/2021,"1,725.00","1,738.00","1,716.80","1,722.60"
03/10/2021,"1,714.50","1,725.30","1,705.60","1,721.80"
03/09/2021,"1,679.30","1,718.70","1,676.70","1,716.90"
03/08/2021,"1,701.60","1,712.00","1,673.30","1,678.00"
03/05/2021,"1,695.30","1,705.70","1,683.00","1,698.50"
03/04/2021,"1,708.40","1,721.60","1,687.60","1,700.70"
03/03/2021,"1,736.50","1,739.10","1,699.40","1,715.80"
03/02/2021,"1,722.80","1,737.80","1,704.60","1,733.60"
03/01/2021,"1,732.80","1,757.40","1,717.20","1,723.00"
02/26/2021,"1,770.90","1,773.80","1,714.90","1,728.80"
02/25/2021,"1,804.90","1,805.00","1,763.90","1,775.40"
02/24/2021,"1,805.00","1,813.00","1,782.20","1,797.90"
02/23/2021,"1,809.30","1,815.20","1,794.50","1,805.90"
02/22/2021,"1,782.00","1,812.40","1,778.60","1,808.40"
02/19/2021,"1,774.60","1,790.90","1,759.00","1,777.40"
02/18/2021,"1,776.00","1,788.80","1,766.60","1,775.00"
02/17/2021,"1,793.10","1,794.20","1,767.90","1,772.80"
02/16/2021,"1,819.70","1,827.00","1,788.10","1,799.00"
02/12/2021,"1,825.40","1,831.50","1,810.10","1,823.20"
02/11/2021,"1,844.30","1,848.60","1,821.70","1,826.80"
02/10/2021,"1,838.30","1,856.60","1,834.00","1,842.70"
02/09/2021,"1,832.40","1,849.50","1,830.30","1,837.50"
02/08/2021,"1,818.10","1,840.60","1,807.30","1,834.20"
02/05/2021,"1,794.30","1,816.00","1,792.20","1,813.00"
02/04/2021,"1,834.50","1,835.70","1,784.60","1,791.20"
02/03/2021,"1,838.50","1,845.90","1,830.10","1,835.10"
02/02/2021,"1,863.60","1,866.30","1,830.40","1,833.40"
02/01/2021,"1,865.00","1,876.00","1,851.70","1,863.90"
01/29/2021,"1,845.60","1,878.90","1,841.20","1,850.30"
01/28/2021,"1,843.40","1,862.90","1,831.50","1,837.90"
01/27/2021,"1,849.70","1,851.50","1,828.40","1,844.90"
01/26/2021,"1,854.90","1,860.80","1,847.20","1,850.90"
01/25/2021,"1,855.30","1,867.40","1,846.20","1,855.20"
