Date;Day;Weekday;Is_weekend;Is_holiday;Week_of_month;Week_of_year;Month;Quarter;Year
02.04.2012;2;2;0;0;1;14;4;2;2012
03.04.2012;3;3;0;0;1;14;4;2;2012
04.04.2012;4;4;0;0;1;14;4;2;2012
05.04.2012;5;5;0;0;1;14;4;2;2012
06.04.2012;6;6;0;0;1;14;4;2;2012
07.04.2012;7;7;1;0;1;14;4;2;2012
08.04.2012;8;1;1;0;2;15;4;2;2012
09.04.2012;9;2;0;0;2;15;4;2;2012
10.04.2012;10;3;0;0;2;15;4;2;2012
11.04.2012;11;4;0;0;2;15;4;2;2012
12.04.2012;12;5;0;0;2;15;4;2;2012
13.04.2012;13;6;0;0;2;15;4;2;2012
14.04.2012;14;7;1;0;2;15;4;2;2012
15.04.2012;15;1;1;0;3;16;4;2;2012
16.04.2012;16;2;0;0;3;16;4;2;2012
17.04.2012;17;3;0;0;3;16;4;2;2012
18.04.2012;18;4;0;0;3;16;4;2;2012
19.04.2012;19;5;0;0;3;16;4;2;2012
20.04.2012;20;6;0;0;3;16;4;2;2012
21.04.2012;21;7;1;0;3;16;4;2;2012
22.04.2012;22;1;1;0;4;17;4;2;2012
23.04.2012;23;2;0;0;4;17;4;2;2012
24.04.2012;24;3;0;0;4;17;4;2;2012
25.04.2012;25;4;0;0;4;17;4;2;2012
26.04.2012;26;5;0;0;4;17;4;2;2012
27.04.2012;27;6;0;0;4;17;4;2;2012
28.04.2012;28;7;1;0;4;17;4;2;2012
29.04.2012;29;1;1;0;5;18;4;2;2012
30.04.2012;30;2;0;0;5;18;4;2;2012
01.05.2012;1;3;0;0;1;18;5;2;2012
02.05.2012;2;4;0;0;1;18;5;2;2012
03.05.2012;3;5;0;0;1;18;5;2;2012
04.05.2012;4;6;0;0;1;18;5;2;2012
05.05.2012;5;7;1;0;1;18;5;2;2012
06.05.2012;6;1;1;0;2;19;5;2;2012
07.05.2012;7;2;0;0;2;19;5;2;2012
08.05.2012;8;3;0;0;2;19;5;2;2012
09.05.2012;9;4;0;0;2;19;5;2;2012
10.05.2012;10;5;0;0;2;19;5;2;2012
11.05.2012;11;6;0;0;2;19;5;2;2012
12.05.2012;12;7;1;0;2;19;5;2;2012
13.05.2012;13;1;1;0;3;20;5;2;2012
14.05.2012;14;2;0;0;3;20;5;2;2012
15.05.2012;15;3;0;0;3;20;5;2;2012
16.05.2012;16;4;0;0;3;20;5;2;2012
17.05.2012;17;5;0;0;3;20;5;2;2012
18.05.2012;18;6;0;0;3;20;5;2;2012
19.05.2012;19;7;1;0;3;20;5;2;2012
20.05.2012;20;1;1;0;4;21;5;2;2012
21.05.2012;21;2;0;0;4;21;5;2;2012
22.05.2012;22;3;0;0;4;21;5;2;2012
23.05.2012;23;4;0;0;4;21;5;2;2012
24.05.2012;24;5;0;0;4;21;5;2;2012
25.05.2012;25;6;0;0;4;21;5;2;2012
26.05.2012;26;7;1;0;4;21;5;2;2012
27.05.2012;27;1;1;0;5;22;5;2;2012
28.05.2012;28;2;0;1;5;22;5;2;2012
29.05.2012;29;3;0;0;5;22;5;2;2012
30.05.2012;30;4;0;0;5;22;5;2;2012
31.05.2012;31;5;0;0;5;22;5;2;2012
01.06.2012;1;6;0;0;1;22;6;2;2012
